review_text, [],sentiment_score,cluster,pc1,pc2
"Pure Red Chilli Powder - Red color looks artificial, poor taste.",[],-0.4767,1,-0.23388612,0.03896005
"Authentic Cumin Seeds - Flavorless, probably stored too long.",[],0.0,0,0.3773123,-0.5364765
"Coriander Powder - Sour smell, possibly spoiled.",[],0.0,1,-0.24592769,0.019981086
"Organic Turmeric Powder - Not worth the price, lacks depth.",[],-0.1695,1,-0.32969,-0.02666135
Premium Garam Masala Blend - Slight chemical aftertaste.,[],0.0,1,0.3636877,0.4214773
"Pure Red Chilli Powder - Burns quickly, loses flavor fast.",[],-0.3182,1,-0.18735965,0.02414368
"Authentic Cumin Seeds - Inconsistent quality, some bitter seeds.",[],-0.4215,0,0.41802293,-0.5534417
"Coriander Powder - No aroma, flat taste.",[],-0.296,1,-0.17008755,0.07218114
"Organic Turmeric Powder - Too coarse, gritty texture.",[],0.0,1,-0.3765663,-0.022558914
"Premium Garam Masala Blend - Dull flavor, spices feel lifeless.",[],-0.4019,1,0.3605068,0.45795622
"Pure Red Chilli Powder - Smells stale, lacks brightness.",[],0.3818,1,-0.23149244,0.07801098
"Authentic Cumin Seeds - Toasted poorly, didn’t release aroma.",[],0.0,0,0.38770851,-0.49983662
Coriander Powder - Looks fresh but tastes flat.,[],0.1655,1,-0.20227908,0.07596462
"Organic Turmeric Powder - Weak flavor, faded color.",[],-0.4404,1,-0.4081502,-0.08989576
"Premium Garam Masala Blend - Lacks complexity, tastes one-note.",[],0.0,1,0.48709586,0.49703112
"Pure Red Chilli Powder - Minimal heat, more like paprika.",[],0.4201,1,-0.18684006,0.1507969
"Authentic Cumin Seeds - Odd smell, not appetizing.",[],-0.3182,0,0.33706445,-0.53737044
"Coriander Powder - Pale color, flavorless.",[],0.0,1,-0.25505546,0.07668421
"Organic Turmeric Powder - Moisture inside pack, clumped badly.",[],-0.4767,1,-0.34955528,-0.13918275
"Premium Garam Masala Blend - Too powdery, sticks together.",[],0.0,1,0.3609706,0.43177325
Pure Red Chilli Powder - Flavor inconsistent batch to batch.,[],0.0,1,-0.080694266,-0.0049160277
"Authentic Cumin Seeds - Overly dry, crumbles easily.",[],0.34,0,0.3752224,-0.5226762
Coriander Powder - Aroma fades within minutes.,[],0.0,1,-0.14840084,0.042996533
"Organic Turmeric Powder - Harsh, unpleasant bitterness.",[],-0.8271,1,-0.36171523,-0.056695588
"Premium Garam Masala Blend - Missing depth, doesn’t blend well.",[],-0.0258,1,0.50671464,0.4807025
"Pure Red Chilli Powder - Grainy texture, unpleasant.",[],-0.4767,1,-0.228053,0.09560492
Authentic Cumin Seeds - Tasted burnt even without roasting.,[],0.0,0,0.37586957,-0.5102604
"Coriander Powder - No freshness, likely very old.",[],-0.296,1,-0.20794678,0.01752316
"Organic Turmeric Powder - Dull yellow, lacks vibrancy.",[],-0.4019,1,-0.4194312,-0.038635965
"Premium Garam Masala Blend - Strange sour note, off-putting.",[],-0.2023,1,0.38704073,0.44476262
"Pure Red Chilli Powder - Weak aroma, dull heat.",[],-0.6808,1,-0.23395105,0.062478416
"Authentic Cumin Seeds - Not aromatic, poor quality.",[],0.3724,0,0.370722,-0.52153045
"Coriander Powder - Harsh taste, not smooth.",[],-0.4404,1,-0.19538596,0.12770429
"Organic Turmeric Powder - Barely any flavor, disappointing.",[],-0.4472,1,-0.30705467,-0.047457978
"Premium Garam Masala Blend - Heavy on fennel, unbalanced.",[],0.0,1,0.4121336,0.4986827
"Pure Red Chilli Powder - Odd smell, like dust.",[],0.0516,1,-0.2952005,0.018462542
Authentic Cumin Seeds - Aroma almost nonexistent.,[],0.0,0,0.39395687,-0.5095643
Coriander Powder - Weak and watery taste in curries.,[],-0.4404,1,-0.13253522,0.05096386
